state,sort,borders
AL,0,TN:MS:GA:FL:0
AK,1,TX:0
AZ,2,CA:NV:UT:NM:0
AR,3,OK:MO:TN:TX:LA:MS:0
CA,4,OR:NV:AZ:HI:0
CO,5,WY:NE:KS:OK:NM:UT:0
CT,6,RI:MA:NY:0
DE,7,MD:NJ:PA:0
FL,8,GA:AL:0
GA,9,TN:NC:SC:AL:FL:0
HI,10,CA:0
ID,11,WA:OR:NV:UT:WY:MT:0
IL,12,WI:IA:MO:KY:IN:0
IN,13,IL:KY:OH:MI:0
IA,14,MN:SD:NE:KS:MO:IL:WI:0
KS,15,NE:CO:OK:MO:0
KY,16,IL:IN:OH:WV:VA:TN:MO:0
LA,17,TX:AR:MS:0
ME,18,NH:0
MD,19,VA:WV:PA:DE:0
MA,20,NH:VT:NY:RI:DE:0
MI,21,IN:OH:WI:0
MN,22,ND:SD:IA:WI:0
MS,23,TN:AR:LA:AL:0
MO,24,IA:NE:KS:OK:AR:TN:KY:IL:0
MT,25,ID:WY:SD:ND:0
NE,26,SD:WY:CO:KS:IA:0
NV,27,ID:OR:CA:AZ:UT:0
NH,28,ME:VT:MA:0
NJ,29,NY:PA:DE:0
NM,30,CO:AZ:TX:OK:0
NY,31,VT:MA:CT:NJ:PA:0
NC,32,VA:TN:SC:GA:0
ND,33,MN:SD:MT:0
OH,34,PA:WV:KY:IN:MI:0
OK,35,KS:CO:NM:TX:AR:MO:0
OR,36,WA:ID:NV:CA:0
PA,37,NY:NJ:DE:MD:WV:OH:0
RI,38,MA:CT:0
SC,39,NC:GA:0
SD,40,ND:MT:WY:NE:IA:MN:0
TN,41,KY:MO:AR:MS:AL:GA:VA:0
TX,42,OK:NM:LA:AR:AK:0
UT,43,ID:NV:AZ:CO:WY:0
VT,44,NH:MA:NY:0
VA,45,MD:WV:KY:TN:NC:0
WA,46,OR:ID::0
WV,47,MD:PA:OH:KY:VA:0
WI,48,MI:MN:IA:IL:0
WY,49,MT:ID:UT:CO:NE:SD:0
